Material,Function,Project,BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA
20GD70-1,API,XO,332,0.989,1.19,6.67,0.53,39.8,9.97,0.192,13.3,0.956,0.527,2.07,16.4,7.94,36,0.537,2.03,10.8,5.3,34.2,25.5
11GD70-1,API,XO,377,1.05,1.18,6.23,0.658,10.1,33,0.306,9.15,1.83,0.384,1.38,14.6,10.5,31.9,0.385,1.35,9.57,7.1,30.5,23.3
XO_LC350189_028-3,API,XO,250,1.37,1.07,6.3,0.572,89,2.1,0.0724,20.4,0.503,0.987,3.32,15,4.51,28.5,0.555,2.08,10.4,5,33.9,17.5
XO_LC350189_027-1,API,XO,373,1.1,1.03,8.11,0.633,167,1.74,0.065,11.4,0.422,1.02,3.39,14.7,4.32,28.2,0.564,1.98,9.77,4.94,30.6,13.3
XO_LC350189_029-3,API,XO,349,1.08,1.15,6.86,0.611,150,1.73,0.0813,12.8,0.617,0.803,2.63,14.1,5.36,27.2,0.584,1.91,9.34,4.89,27.1,9.84
XO_LC350189_031-1,API,XO,311,1.13,1.06,7.17,0.612,214,1.52,0.0561,10.1,0.322,0.897,3.03,14.7,4.84,28.8,0.761,2.61,9.73,3.73,29.5,8.89
XO_LC350189_033-2,API,XO,346,1.52,1.01,7.5,0.661,197,2.26,0.0689,7.96,0.388,1.7,5.62,16.7,2.96,27.7,0.698,2.26,9.64,4.27,26.6,9.23
XO_LC350189_032-1,API,XO,354,1.02,1.03,8.41,0.526,193,2.28,0.111,12.9,0.507,1.05,3.58,16.3,4.55,29.1,0.62,2.14,9.92,4.63,29.9,12.8
XO_LC350189_033-1,API,XO,318,0.986,1.09,8.18,0.386,47.8,10.5,0.0687,11.4,0.395,1.05,3.94,17.4,4.42,34,2.08,7.09,13.9,1.96,29.1,11.1
XO_LC350189_029-1,API,XO,296,1.07,1.01,6.51,0.619,186,1.78,0.0542,10.2,0.363,0.881,2.94,14.3,4.85,28.1,0.449,1.55,9.34,6.04,29.7,9.09
XO_LC350189_026-6,API,XO,309,1.16,1.07,7.03,0.642,162,1.57,0.0514,10.3,0.308,0.566,1.92,13.8,7.17,29,0.577,1.94,9.44,4.86,28.6,8.16
XO_LC350189_026-3,API,XO,311,1.16,1.05,7.13,0.635,226,1.8,0.0526,9.01,0.337,0.866,2.99,14.6,4.9,29.8,0.615,2.18,9.59,4.41,31,7.57
XO_LC350189_028-2,API,XO,286,1.16,1.08,6.77,0.596,164,1.89,0.0584,13.9,0.391,1.12,3.66,14.3,3.9,27.3,0.608,2.05,9.45,4.62,28.6,10.7
XO_LC350189_026-2,API,XO,179,1.09,1.11,5.27,0.628,190,0.983,0.0584,13.5,0.359,0.902,2.93,14.5,4.96,26.7,1.33,4.37,10.7,2.45,27.6,10.6
XO_LC350189_024-07,API,XO,286,1.04,1.04,7.22,0.516,216,1.81,0.0549,16.4,0.315,1.14,4.04,15.8,3.91,31.1,0.933,3.58,10.8,3.02,35,5.49
XO_LC350189_026-4,API,XO,239,1.08,1.08,5.85,0.572,130,1.96,0.0689,16,0.536,0.985,3.22,14.3,4.45,27,0.937,3.3,10.3,3.13,30.8,10.7
XO_LC350189_030-2,API,XO,286,1.65,1.04,6.88,0.627,171,1.77,0.0521,11.8,0.362,0.637,2.09,13.7,6.55,27.2,0.462,1.55,9.28,6.01,28.3,9.07
XO_LC350189_024-6,API,XO,386,1.05,1.02,8.49,0.485,228,1.81,0.0574,15.4,0.253,0.696,2.57,15.5,6.04,33.2,0.325,1.23,10.1,8.21,34.3,8.06
XO_LC350189_027-2,API,XO,342,1.13,1.01,7.11,0.614,221,1.6,0.0571,9.26,0.292,0.621,2.1,14,6.69,28.7,0.438,1.46,9.16,6.27,28.1,7.45
XO_LC350189_031-3,API,XO,281,1.05,1.02,6.56,0.608,156,2.1,0.0747,13.9,0.6,0.737,2.4,14,5.81,27,0.531,1.77,9.25,5.24,28,10.2
XO_LC350189_028-1,API,XO,324,1.2,1,6.74,0.605,192,1.89,0.0609,7.57,0.339,0.474,1.59,13.3,8.38,28.4,0.445,1.47,9.22,6.26,27.8,8.61
XO_LC350189_031-2,API,XO,295,1.1,0.998,7.02,0.61,164,2,0.0577,10.3,0.399,0.581,1.91,13.6,7.14,27.4,0.449,1.49,9.22,6.17,28,10.6
Lactose DCL-15 (Supertab 30GR)_1,Filler_DC,N/A,2001,0.982,1.07,5.68,0.599,136,25.5,0.165,5.81,0.966,0.143,0.553,14.7,26.6,35.3,0.15,0.564,9.49,16.8,33.8,4.4
Lactose DCL-15 (Supertab 30GR)_2,Filler_DC,N/A,1800,0.975,1.07,6.11,0.575,93.4,18.6,0.153,6.67,0.814,0.108,0.408,14.2,34.9,34.3,0.125,0.488,9.95,20.4,35.6,5.07
Lactose DCL-15 (Supertab 30GR)_3,Filler_DC,N/A,1994,0.946,1.02,5.96,0.581,74.7,25.3,0.165,5.53,0.987,0.0886,0.342,14.6,42.8,35.2,0.0896,0.342,9.41,27.5,34.7,5.12
Lactose monohydrate (Supertab 30GR)_1,Filler_DC,N/A,1960,0.988,1.09,6.14,0.572,221,8.57,0.144,5.62,0.623,0.104,0.399,14.5,36.2,34.9,0.0488,0.191,9.54,49.9,35.9,4.5
Lactose monohydrate (Supertab 30GR)_2,Filler_DC,N/A,2082,0.942,1.06,6.08,0.597,75,26.6,0.161,5.47,0.996,0.152,0.602,15.1,25.1,36.4,0.231,0.867,10.1,11.7,34,5.21
Lactose #200,Filler_WG,N/A,772,1.18,2.18,9.49,0.602,203,5.54,0.392,16.8,29,1.02,3.7,16,4.31,32.5,0.655,24.46,10.8,4.39,34,9.05
Lactose monohydrate (Tablettose 80)_1,Filler_DC,N/A,1992,1.01,1.09,5.51,0.63,269,11,0.135,6.58,0.896,0.351,1.38,15.4,11.2,36.1,0.231,0.902,10,11.1,35.8,4.45
Lactose monohydrate (Tablettose 80)_2,Filler_DC,N/A,1930,0.952,1.08,5.76,0.621,160,21.5,0.171,6.96,1.25,0.48,1.89,15.5,8.16,36.2,0.241,0.937,9.65,10.3,35.5,3.78
Lactose monohydrate (FLOWLAC 90),Filler_DC,N/A,1072,0.959,1.05,4.16,0.61,187,10.8,0.114,11.3,0.879,0.136,0.442,12.4,28.2,26.6,0.134,0.439,8.35,19,27.1,4.27
Lactose monohydrate (InhaLac 120),,N/A,2670,1.04,1.04,6.26,0.759,102,25.4,0.133,3.32,0.93,0.274,0.961,13.4,13.9,30.7,0.0871,0.298,8.53,28.6,29.4,7.14
Lactose Anhydrous (Supertab 21AN)_1,Filler_DC,N/A,1778,0.904,1.17,6.09,0.697,105,33.1,0.382,9.7,4.89,0.361,1.38,14.5,10.5,35,0.296,1.14,9.82,8.61,35.2,5.3
Lactose Anhydrous (Supertab 21AN)_2,Filler_DC,N/A,1841,0.949,1.21,6.68,0.711,73.5,25.9,0.392,10.6,4.92,0.334,1.3,14.7,11.3,35.5,0.246,0.958,9.87,10.3,35.7,5.81
Lactose Anhydrous (Supertab 22AN),Filler_DC,N/A,2534,0.927,1.07,6.65,0.694,137,17.7,0.177,4.23,1.02,0.273,1.03,15.5,15.1,34.1,0.0819,0.319,10.5,33.1,35.6,5.32
Lactose Anhydrous (21AN)_1,Filler_DC,N/A,1836,0.991,1.18,7.17,0.682,163,19.1,0.303,11.7,4.06,0.502,1.86,14.6,7.88,33.1,0.364,1.41,10.4,7.33,35.5,6.37
Lactose Anhydrous (21AN)_2,Filler_DC,N/A,1739,0.933,1.25,6.57,0.688,59.8,27.6,0.347,12.1,4.33,0.279,1.08,14.8,13.8,35.2,0.31,1.18,9.99,8.44,34.7,6.04
D-Mannitol,Filler_WG,N/A,3029,0.868,1.22,10.5,0.634,67.5,46.3,0.361,11.1,3.47,0.703,3.03,18.5,6.12,40.2,0.479,2.11,13.3,6.31,41.3,6.48
Pearlitol 100 SD_1,Filler_DC,N/A,1256,0.934,1.01,5.28,0.502,15,151,0.294,3.36,1.29,0.065,0.22,12.4,56.3,28.8,0.122,0.423,8.6,20.3,29.9,6.43
Pearlitol 100 SD_2,Filler_DC,N/A,1745,1.34,1.02,7.24,0.497,3.96,319,0.227,4.32,1.02,0.137,0.492,13.1,26.7,31.8,0.0787,0.269,8.2,30.5,29.3,5.18
Pearlitol 160 C,Filler_WG,N/A,2853,0.945,0.965,9.38,0.6,143,33,0.268,14.5,2.51,1.29,5.08,18.1,3.56,36.3,0.828,3.36,12.2,3.64,37.6,7.53
Pearlitol 200 SD_1,Filler_DC,N/A,1551,0.949,1.06,5.75,0.538,20.3,133,0.202,5.11,0.933,0.0165,0.0577,13,225,30.6,0.0553,0.208,9.48,45.7,33.9,6.63
Pearlitol 200 SD_2,Filler_DC,N/A,1516,0.997,1.03,5.91,0.529,21.2,69.8,0.164,4.06,0.764,0.00587,0.0199,12.7,637,29,0.0857,0.287,8.45,29.5,28.2,6.95
Pearlitol 200 SD_3,Filler_DC,N/A,1607,1.01,1.04,5.74,0.534,20.8,77.9,0.203,3.09,0.811,0.00604,0.0205,12.3,599,29.1,0.0171,0.0597,8.27,139,30.4,5.82
Parteck Delta M,Filler_WG,N/A,915,1,1.68,10.4,0.446,202,4.46,0.292,24.9,9.93,1.67,7,18.1,2.59,39,1.09,4.72,12.3,2.6,40.5,10.1
Parteck M 100_1,Filler_DC,N/A,1286,0.939,1.05,5.08,0.597,2.89,478,0.414,5.49,2.83,0.161,0.56,13.1,23.4,30.3,0.0696,0.238,8.44,35.4,29.5,9.34
Parteck M 100_2,Filler_DC,N/A,1317,0.91,1.05,5.23,0.604,2.63,537,0.412,4.79,2.97,0.0896,0.309,12.6,40.7,29.8,0.0736,0.251,8.32,33.1,29.3,7
Vivapur 105,,N/A,307,1.09,2.49,10.4,0.226,120,2.3,0.148,37.5,17.4,2.64,10.7,20.3,1.89,37.5,1.66,6.7,13.1,1.96,37.4,11
Vivapur 301,Filler_WG,N/A,1218,1.03,1.69,10.1,0.439,47.7,24.1,0.441,15.4,3.42,1.04,4.02,17.4,4.32,35.2,0.74,2.79,11.4,4.09,34.1,7.73
Vivapur 112_1,Filler_DC,N/A,1478,1.01,1.4,6.48,0.376,7.61,323,0.25,10.9,1.1,0.406,1.61,17.3,10.7,36.6,0.16,0.642,11.4,17.7,37.1,6.41
Vivapur 112_2,Filler_DC,N/A,1454,0.869,1.3,6.64,0.375,11.3,157,0.254,10.3,0.91,0.21,0.841,17.4,20.7,36.8,0.0961,0.398,11.9,29.9,38.4,6.41
Vivapur 302_1,Filler_DC,N/A,1485,0.955,1.41,7.78,0.415,23.5,69.4,0.38,13.8,1.95,0.725,2.89,17.9,6.19,36.7,0.533,2.03,11.5,5.69,34.6,5.9
Vivapur 302_2,Filler_DC,N/A,1621,0.974,1.3,6.56,0.436,11.1,148,0.246,9.98,1.1,0.251,0.914,15.2,16.7,32.4,0.159,0.614,10.8,17.5,35.2,6.46
Vivapur 12_1,Filler_DC,N/A,1643,0.966,1.27,6.81,0.376,58.3,48.8,0.149,9.09,0.805,0.263,1.05,17.3,16.4,36.9,0.201,0.781,11.8,15.1,35.5,8.78
Vivapur 12_2,Filler_DC,N/A,1595,0.906,1.34,7.57,0.359,117,14.1,0.152,10.3,0.48,0.289,1.11,16.8,15.1,35.1,0.141,0.588,12.3,21,38.9,4.85
Vivapur 12_3,Filler_DC,N/A,1716,0.947,1.3,7.88,0.372,34.5,52.6,0.192,9.24,0.676,0.105,0.443,18.4,41.5,39.4,0.0897,0.364,11.7,32.1,37.5,6.79
Vivapur 200,Filler_DC,N/A,1700,0.956,1.24,6.54,0.384,210,8.68,0.14,8.29,0.443,0.124,0.49,17.7,36.1,36.5,0.0486,0.187,11.2,59.7,35,4.86
Heweten 101_1,Filler_WG,N/A,1330,0.946,1.58,9.75,0.366,14.2,178,0.405,15.7,2.11,0.576,2.36,19.6,8.32,38,0.362,1.48,12.9,8.71,37.9,6.19
Heweten 101_2,Filler_WG,N/A,1216,0.987,1.58,9.86,0.333,147,8.65,0.354,17.6,1.97,0.985,4.14,20,4.82,39.1,0.583,2.35,12.7,5.4,37.3,7.3
Heweten 101_3,Filler_WG,N/A,1103,0.936,1.65,9.18,0.35,27.5,41.4,0.399,14.5,2.12,0.449,1.84,18.5,10,37.9,0.314,1.29,12.8,9.87,38.2,8.23
Heweten 102_1,Filler_DC,N/A,1524,0.824,1.27,7.3,0.341,21.3,148,0.228,10.2,0.73,0.367,1.51,18.7,12.4,38.1,0.207,0.882,12.6,14.3,39.7,6.29
Heweten 102_2,Filler_DC,N/A,1568,1,1.3,8.66,0.355,16.5,78.9,0.243,13.1,1.06,0.468,1.9,18,9.52,37.4,0.325,1.33,12.5,9.34,38,6.51
Avicel PH-102,Filler_DC,N/A,1620,0.935,1.29,6.88,0.357,21.2,80.5,0.22,11.3,0.753,0.151,0.626,17.5,28,38.6,0.156,0.689,12.6,18.2,41.2,6.19
Avicel PH-112_1,,N/A,1200,1.02,1.15,6.82,0.364,7.54,174,0.287,10.3,1.14,0.214,0.762,14.4,18.9,31.4,0.129,0.464,9.64,20.8,31.8,5.98
Avicel PH-112_2,,N/A,1221,1,1.32,6.4,0.352,4.21,273,0.274,10.8,1.09,0.262,0.964,15.2,15.8,32.9,0.158,0.603,10.3,17,34.7,6.01
Avicel PH-200,Filler_DC,N/A,1082,1.08,1.11,5.19,0.352,11.5,93.9,0.218,7.4,0.744,0.0347,0.122,14.2,116,30.7,0.081,0.288,9.62,33.5,31.2,5.5
DCP D/T_1,Filler_DC,N/A,3549,1.03,1.05,6.54,0.869,1966,3.07,0.0809,3.03,0.567,0.0453,0.175,13.7,78.7,35.1,0.261,1.01,11,11,35.2,4.4
DCP D/T_2,Filler_DC,N/A,3717,1.02,0.976,6.39,0.919,1782,3.33,0.102,2.37,0.562,0.174,0.642,13.3,20.8,33.1,0.184,0.683,8.96,13.1,33.4,4.03
Starch 1500 (Partially pregelatinized maize starch)_1,Filler_DC,N/A,1073,0.946,1.4,4.85,0.681,22.4,93,0.463,5.7,4.69,0.306,1.01,13.8,13.7,27.7,0.213,0.73,9.49,13,29.6,5.06
Starch 1500 (Partially pregelatinized maize starch)_2,Filler_DC,N/A,900,0.978,1.53,5.2,0.663,15.4,59.1,0.462,8.07,6.3,0.404,1.28,13.2,10.3,25.5,0.255,0.82,8.87,10.8,26.2,6.92
Startab (Directly compressible starch)_1,Filler_DC,N/A,1082,1.05,1.15,4.71,0.628,8,120,0.47,2.23,3.28,0.129,0.414,13,31.5,26.1,0.095,0.31,8.75,28.2,27,5.97
Startab (Directly compressible starch)_2,Filler_DC,N/A,1153,1.04,1.14,4.86,0.627,2.35,481,0.48,2.27,3.52,0.0909,0.301,13.5,44.9,27.7,0.0803,0.26,8.99,34.6,26.6,4.87
Starcap 1500,Filler_DC,N/A,725,0.972,1.17,4.53,0.486,69.2,10.3,0.197,9.72,1.19,0.215,0.71,13.3,18.8,27.6,0.191,0.638,9.02,14.1,28.1,4.62
Compactrol (Calcium Sulfate Dihydrate),,N/A,4010,0.903,1.07,7.24,1.01,553,7.04,0.151,7.28,1.9,0.322,1.37,19.8,14.5,39.7,0.206,0.806,11,13.7,36,5.72
CELLACTOSE 80 (75% Lactose monohydrate+25% Cellulose powdered),Filler_DC,N/A,1392,0.946,1.05,5.99,0.436,83.3,14.8,0.123,8.11,0.628,0.128,0.458,14,30.5,31.6,0.0782,0.29,9.6,33.2,33.2,4.4
Prosolv SMCC 50_1,Filler_DC,N/A,1466,0.924,1.41,7.55,0.361,9.22,366,0.448,28.2,1.84,0.297,1.13,16.4,14.5,34.5,0.236,0.938,11.9,12.6,36.5,6.54
Prosolv SMCC 50_2,Filler_DC,N/A,1342,1.17,1.27,7.94,0.355,8.35,188,0.44,9.3,1.7,0.346,1.32,16.2,12.3,34.5,0.364,1.46,12.4,8.49,36.9,6.99
Prosolv SMCC 50_3,Filler_DC,N/A,1447,0.992,1.39,8.14,0.353,6.46,221,0.445,9.05,1.9,0.458,1.87,18.6,9.97,37.8,0.451,1.87,13.3,7.13,38.5,6.94
Prosolv SMCC HD90,Filler_DC,N/A,1488,1.05,1.13,5.56,0.477,2.81,1131,0.361,7.35,1.67,0.099,0.352,14.2,40.4,31.3,0.0808,0.307,10.3,33.5,34.5,6.6
Prosolv Easytab SP LM,Filler_DC,N/A,1215,0.991,1.3,5.93,0.396,8.37,146,0.274,8.45,1.16,0.0561,0.211,14.9,70.8,34,0.0728,0.259,9.58,37,31.4,5.44
Kollidon VA 64 (Copovidone)_1,Binder,N/A,634,0.894,1.13,4.81,0.383,1.89,626,0.355,5.71,1.59,0.138,0.445,13,29.3,26.3,0.095,0.309,8.8,28.4,26.9,5.38
Kollidon VA 64 (Copovidone)_2,Binder,N/A,590,0.873,1.22,4.56,0.389,2.58,459,0.348,5.37,1.52,0.104,0.336,13,38.8,26.7,0.105,0.341,8.72,25.6,26.9,4.69
Kollidon 12 PF (Povidone)_1,Binder,N/A,775,1.01,1.27,4.82,0.538,2.1,671,0.474,6.38,4.51,0.384,1.2,12.9,10.8,24.7,0.273,0.86,8.69,10.1,25.3,9.6
Kollidon 12 PF (Povidone)_2,Binder,N/A,743,1.05,1.36,4.97,0.534,1.45,488,0.482,6.76,6.04,0.32,1,12.8,12.7,24.9,0.24,0.748,8.56,11.4,24.6,8.67
